case_id,ticker,entry_date,outcome_class,forward_return_3yr,keyword_density_score,trajectory_classification,word_count_current,word_count_prior,density_current,density_prior,density_delta,word_count_change,new_paragraph_ratio
CASE-NVR-2021-12-31-b32110,NVR,2021-12-31,mixed,0.352,1,deteriorating,4362,8581,38.3,9.6,28.7,-0.492,0
CASE-XRAY-2021-12-31-af78fb,XRAY,2021-12-31,trap,-0.645,1.75,deteriorating,12551,10398,22.1,21,1.2,0.207,0.32
CASE-BBBY-2020-06-15-7261c0,BBBY,2020-06-15,underperform,0.031379801697355436,1.75,deteriorating,17029,13283,20.6,19.4,1.1,0.282,0.34
CASE-IRM-2015-12-31-482182,IRM,2015-12-31,winner,0.436,1.25,deteriorating,8242,6924,18.4,20.1,-1.6,0.19,0.38
CASE-SEE-2013-01-02-7473ed,SEE,2013-01-02,winner,1.602,1.25,deteriorating,9505,5558,20.7,20.7,0,0.71,0.8
CASE-HPQ-2015-01-02-cc564b,HPQ,2015-01-02,underperform,0.28,0.5,deteriorating,11716,10585,19.2,20,-0.8,0.107,0.17
CASE-FCX-2015-01-02-a60354,FCX,2015-01-02,trap,-0.135,1,deteriorating,12111,30225,17.9,13,4.9,-0.599,0
CASE-KMI-2015-12-31-1c9a5b,KMI,2015-12-31,underperform,0.165,1,deteriorating,7790,10601,21.1,17.9,3.1,-0.265,0
CASE-EXPD-2017-06-14-c2b652,EXPD,2017-06-14,mixed,0.369,1,deteriorating,2054,2139,29.2,27.1,2.1,-0.04,0
CASE-LNC-2021-12-31-f8a07c,LNC,2021-12-31,trap,-0.45,0.75,deteriorating,4825,4416,4.1,2.7,1.4,0.093,0
CASE-FAST-2021-01-04-d42960,FAST,2021-01-04,mixed,0.408,0,stable,6047,6005,18,18,0,0.007,0
CASE-PWR-2021-12-31-0d52e7,PWR,2021-12-31,winner,1.768,1.75,deteriorating,16232,4998,10.8,9.6,1.2,2.248,2.97
CASE-BBBY-2015-12-31-bd4cf8,BBBY,2015-12-31,underperform,0.151,1.75,deteriorating,17029,13283,20.6,19.4,1.1,0.282,0.34
CASE-BBT-2021-01-04-334be1,BBT,2021-01-04,winner,0.532,0.5,deteriorating,4723,7157,24.3,23.3,1,-0.34,0
CASE-CLF-2013-01-02-6d80d8,CLF,2013-01-02,trap,-0.957,0,stable,6656,6581,10.1,21.3,-11.2,0.011,0
CASE-UNH-2021-12-31-3439f6,UNH,2021-12-31,underperform,0.049,1,deteriorating,7794,6387,7.8,7.8,0,0.22,0.17
CASE-PHM-2019-01-02-85436b,PHM,2019-01-02,winner,1.261,0,stable,5975,6266,8.2,8,0.2,-0.046,0
CASE-R-2013-01-02-a16e61,R,2013-01-02,underperform,0.178,1.25,deteriorating,12170,2414,7.7,20.7,-13,4.041,1.92
CASE-SLM-2013-01-02-2d46c3,SLM,2013-01-02,underperform,0.083,0.75,deteriorating,4415,3857,27.4,29.6,-2.2,0.145,0.23
CASE-XYL-2019-01-02-0cc59a,XYL,2019-01-02,underperform,0.868,0.25,stable,6962,6415,29.2,28.7,0.5,0.085,0.04
