iShares Russell 1000 ETF
Fund Holdings as of,"Mar 25, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"121,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TJX","TJX INC","Consumer Discretionary","Equity","127,725,867.64","0.30","127,725,867.64","799,586.00","159.74","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","127,713,371.73","0.30","127,713,371.73","649,049.00","196.77","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","123,198,646.90","0.28","123,198,646.90","891,065.00","138.26","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","121,933,164.05","0.28","121,933,164.05","1,270,799.00","95.95","United States","NYSE","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","118,712,248.20","0.27","118,712,248.20","252,590.00","469.98","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","118,691,052.32","0.27","118,691,052.32","652,292.00","181.96","United States","NYSE","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","116,031,651.12","0.27","116,031,651.12","386,463.00","300.24","United States","NYSE","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","114,128,320.28","0.26","114,128,320.28","885,196.00","128.93","United States","NYSE","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","113,480,563.42","0.26","113,480,563.42","1,194,658.00","94.99","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","112,590,704.84","0.26","112,590,704.84","349,628.00","322.03","United States","NASDAQ","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","112,419,651.54","0.26","112,419,651.54","873,298.00","128.73","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","110,915,351.36","0.26","110,915,351.36","4,065,812.00","27.28","United States","NYSE","USD","1.00","USD","-"
