case_id,ticker,cik,entry_date,sector,market_cap_at_entry,outcome_class,forward_return_3yr,sp500_return_3yr,current_10k_filing_date,prior_10k_filing_date,current_item1a_word_count,prior_item1a_word_count
MC-MAA-PI-2020-09-30,MAA-PI,0000912595,2020-09-30,,6334124110,trap,-0.1679,0.3,2020-02-20,2019-02-21,14586,14218
MC-SR-2020-09-30,SR,0001126956,2020-09-30,,5314722261,underperform,0.0635,0.3,2019-11-26,2018-11-15,7874,8077
MC-CTRE-2022-03-31,CTRE,0001590717,2022-03-31,,6994158838,winner,0.4808,0.28,2022-02-16,2021-02-10,13623,14363
MC-HRI-2022-03-31,HRI,0001364479,2022-03-31,,2982986553,trap,-0.1964,0.28,2022-02-10,2021-02-18,9557,8874
MC-IMAX-2022-03-31,IMAX,0000921582,2022-03-31,,2001659435,mixed,0.392,0.28,2022-02-24,2021-03-04,10867,8783
MC-CHEF-2022-03-31,CHEF,0001517175,2022-03-31,,2434600099,winner,0.6706,0.28,2022-02-22,2021-02-23,11900,12092
MC-NJR-2022-03-31,NJR,0000356309,2022-03-31,,5482822517,underperform,0.0698,0.28,2021-11-18,2020-11-30,8269,7574
MC-SHO-PI-2022-03-31,SHO-PI,0001295810,2022-03-31,,3642466206,trap,-0.1888,0.28,2022-02-23,2021-02-12,21179,21645
MC-HUN-2020-09-30,HUN,0001307954,2020-09-30,,2170947263,underperform,0.0986,0.3,2020-02-13,2019-02-12,20734,23050
MC-SXI-2022-03-31,SXI,0000310354,2022-03-31,,3040197452,winner,0.6152,0.28,2021-08-13,2020-08-25,4435,4309
MC-TXNM-2022-03-31,TXNM,0001108426,2022-03-31,,5397406264,underperform,0.1219,0.28,2022-03-01,2021-03-01,10848,11206
MC-ONB-2022-03-31,ONB,0000707179,2022-03-31,,6931326604,mixed,0.2937,0.28,2022-02-10,2021-02-10,9369,11659
MC-BANC-2020-09-30,BANC,0001169770,2020-09-30,,2747452422,mixed,0.2233,0.3,2020-03-02,2019-03-01,22000,26790
MC-FBK-2020-09-30,FBK,0001649749,2020-09-30,,2425864812,underperform,0.129,0.3,2020-03-13,2019-03-12,15664,14479
MC-VSAT-2022-03-31,VSAT,0000797721,2022-03-31,,6175809310,trap,-0.7865,0.28,2021-05-28,2020-05-29,12231,14722
MC-LEA-2022-03-31,LEA,0000842162,2022-03-31,,6541078693,trap,-0.3813,0.28,2022-02-10,2021-02-10,6728,6311
MC-KNSL-2022-03-31,KNSL,0001669162,2022-03-31,,7804444967,winner,1.1345,0.28,2022-02-25,2021-02-25,9498,9743
