case_id,ticker,cik,sector,market_cap_at_entry,entry_date,entry_cross_section,outcome_class,forward_return_3yr,sp500_return_3yr,alpha_3yr,spread_variance_slope,spread_theta,si_zipf_velocity,si_zipf_velocity_fixed,si_csd,si_d1,si_d2,si_theta,si_beta,si_change,composite,fisher_information,benford_structural_stress,eps_round_number_excess,base10_excess,form4_net_direction,form4_net_value,form4_buy_sell_ratio,form4_purchases_count,form4_purchases_value,form4_sales_count,form4_sales_value
MC-PFGC-2020-09-30,PFGC,0001618673,Consumer Staples,13292460307,2020-09-30,2020-Q3,winner,0.7002,0.3,0.4002,0.0032605072302558397,0.5283576675433289,0.4,0.4,0.2262470163180411,0.027941726012501597,-0.03336037101416364,0.5543086544176385,0.004191469256826307,-0.0296552508239623,0.050000000000000044,0.047190598730304935,STRUCTURAL_STRESS,-0.02456140350877195,-0.06351007504157022,,,,,,,
MC-PFGC-2022-03-31,PFGC,0001618673,Consumer Staples,13292460307,2022-03-31,2022-Q1,winner,0.5445,0.28,0.2645,-0.0018465441176470582,0.33284375744425865,-0.2857142857142857,-0.5714285714285714,0.5027968965412233,0.005914726419949014,-0.0018928003625741166,0.4821962970314817,-0.01213994028056788,-1.3134570235855696,-0.15000000000000002,0.047190598730304935,STRUCTURAL_STRESS,-0.03098591549295776,-0.05016099428759939,,,,,,,
MC-NVMI-2020-09-30,NVMI,,Unknown,13280975049,2020-09-30,2020-Q3,winner,1.1565,0.3,0.8565,0.0032605072302558397,0.5283576675433289,-38,,0.0012469741439258704,-0.07866564524377422,0.01716132220651325,1.7113212138344427,-0.04122539093750121,-0.7074940932068006,-0.050000000000000044,,,,,,,,,,,
MC-NVMI-2022-03-31,NVMI,,Unknown,13280975049,2022-03-31,2022-Q1,winner,0.693,0.28,0.413,-0.0018465441176470582,0.33284375744425865,-12.203296703296703,,0.3286907914124446,0.0183772522238387,0.008464513490229305,0.23676234568909246,-0.016453914724281087,-1.2390818220165836,-0.15000000000000002,,,,,,,,,,,
MC-BJ-2020-09-30,BJ,0001531152,Consumer Staples,13280702931,2020-09-30,2020-Q3,winner,0.7177,0.3,0.4177,0.0032605072302558397,0.5283576675433289,-0.7,-1,0.4393264542079147,-0.06502202544144228,-0.10246178796003272,1.6656890683251941,-0.005566478124630186,-0.07442259815756329,-0.15000000000000002,0.154853632646791,STRUCTURAL_STRESS,0.21379310344827585,-0.07171601311822964,,,,,,,
MC-BJ-2022-03-31,BJ,0001531152,Consumer Staples,13280702931,2022-03-31,2022-Q1,winner,0.6876,0.28,0.4076,-0.0018465441176470582,0.33284375744425865,0.06593406593406594,0.07142857142857142,0.6069080826821263,-0.014385718043502319,0.028496730872725,0.9313425149114651,0.006827029312782811,0.330079448907491,0.050000000000000044,0.154853632646791,STRUCTURAL_STRESS,0.12558139534883722,-0.09273818918746171,,,,,,,
MC-KIM-PL-2020-09-30,KIM-PL,,Unknown,13236309711,2020-09-30,2020-Q3,trap,-0.1901,0.3,-0.4901,0.0032605072302558397,0.5283576675433289,,,,,,,,,,,,,,,,,,,,
MC-KIM-PL-2022-03-31,KIM-PL,,Unknown,13236309711,2022-03-31,2022-Q1,trap,-0.1789,0.28,-0.4589,-0.0018465441176470582,0.33284375744425865,,,,,,,,,,,,,,,,,,,,
MC-NBIX-2020-09-30,NBIX,0000914475,Health Care,13202740863,2020-09-30,2020-Q3,underperform,0.1699,0.3,-0.1301,0.0032605072302558397,0.5283576675433289,-0.2,-0.2,1.093429518729681e-06,0.021190433602997712,0.0550050232048845,3.4367435080311526,-0.0035126313640033383,-0.07349663771021185,0.050000000000000044,0.4155555555555555,STRUCTURAL_STRESS,-0.06666666666666668,0.017680569266211296,,,,,,,
MC-NBIX-2022-03-31,NBIX,0000914475,Health Care,13202740863,2022-03-31,2022-Q1,underperform,0.1797,0.28,-0.1003,-0.0018465441176470582,0.33284375744425865,0.2692307692307692,0.2692307692307692,0.4099660818016325,-0.010907468107441138,0.030036162047464766,0.8337055635890099,0.005954294738852054,0.19671516811142833,0.050000000000000044,0.4155555555555555,STRUCTURAL_STRESS,-0.09473684210526317,0.016616671169701586,,,,,,,
